1,1,0,"How do I get out of a toxic relationship"
1,1,0,3 - Somewhat Accurate
1,1,1,"Whats your go-to method for unwinding after a stressful day"
1,1,1,5 - Extremely Accurate
1,1,2,"Do you think its essential to always tell the truth"
1,1,2,1 - Very Inaccurate
1,1,3,"How do you feel about the idea of lifelong learning"
1,1,3,4 - Very Accurate
1,1,4,"What caske is most likely to be enjoyed at a 10 year olds birthday party"
1,1,4,5 - Extremely Accurate
1,1,5,"What is the best clothing to wear to a funeral"
1,1,5,5 - Extremely Accurate
1,1,6,"What is the best way to console a child who lost their favorite toy"
1,1,6,4 - Very Accurate
1,1,7,"What hairstyle is suitable for a formal job interview"
1,1,7,5 - Extremely Accurate
1,1,8,"How important is it to stay true to your roots"
1,1,8,4 - Very Accurate
1,1,9,"How do you decide when its time to end a friendship"
1,1,9,4 - Very Accurate
1,1,10,"What country is the most likely to not exist in 50 years"
1,1,10,5 - Extremely Accurate
2,1,0,"What country is the most likely to not exist in 50 years"
2,1,0,5 - Extremely Accurate
2,1,1,"Do you think its essential to always tell the truth"
2,1,1,2 - Inaccurate
2,1,2,"How do you feel about the idea of lifelong learning"
2,1,2,4 - Very Accurate
2,1,3,"How do I get out of a toxic relationship"
2,1,3,4 - Very Accurate
2,1,4,"How do you handle criticism at work"
2,1,4,5 - Extremely Accurate
2,1,5,"How do you decide when its time to end a friendship"
2,1,5,5 - Extremely Accurate
2,1,6,"How can you motivate yourself to stay focused and productive while working from home"
2,1,6,5 - Extremely Accurate
2,1,7,"What does success mean to you"
2,1,7,3 - Somewhat Accurate
2,1,8,"When is the right time to start teaching children about financial responsibility"
2,1,8,5 - Extremely Accurate
2,1,9,"What caske is most likely to be enjoyed at a 10 year olds birthday party"
2,1,9,4 - Very Accurate
2,1,10,"How do you feel about the pace of technological change"
2,1,10,5 - Extremely Accurate
3,1,0,"Whats your go-to method for unwinding after a stressful day"
3,1,0,5 - Extremely Accurate
3,1,1,"What country is the most likely to not exist in 50 years"
3,1,1,5 - Extremely Accurate
3,1,2,"What does success mean to you"
3,1,2,4 - Very Accurate
3,1,3,"Where is the best location to watch a sunset"
3,1,3,5 - Extremely Accurate
3,1,4,"Do you think its essential to always tell the truth"
3,1,4,4 - Very Accurate
3,1,5,"How do I get out of a toxic relationship"
3,1,5,4 - Very Accurate
3,1,6,"What is the best clothing to wear to a funeral"
3,1,6,5 - Extremely Accurate
